Customer_ID,Recency_Days,Frequency_LT,Monetary_Val_USD,Tenure_Days,CSAT,Will_Churn_90D
1001,29,15,1805.96,3033,5,0
1002,181,8,925.94,845,4,1
1003,80,10,993.55,2438,2,1
1004,55,6,679.27,2618,1,1
1005,11,10,1419.76,1673,1,0
1006,11,13,1466.13,2388,4,0
1007,4,9,1045.48,643,2,0
1008,121,12,1473.34,3408,2,0
1009,56,10,788.34,472,4,0
1010,74,11,1272.97,1638,5,0
1011,2,9,1237.53,3090,1,0
1012,211,6,423.92,1520,3,1
1013,108,12,1009.03,1760,3,0
1014,15,15,1891.93,2524,5,1
1015,13,15,2408.85,52,2,1
1016,13,9,321.18,2602,1,1
1017,22,13,2388.0,2602,4,1
1018,45,11,2259.63,897,5,0
1019,34,9,1509.83,3634,1,1
1020,21,10,910.58,644,2,0
1021,57,12,1999.81,245,3,1
1022,10,11,1300.78,3119,5,0
1023,21,10,1114.59,2954,3,0
1024,28,9,954.12,1363,2,0
1025,37,14,1603.17,3370,2,0
1026,93,16,1738.88,1917,3,0
1027,14,15,1592.07,3029,2,1
1028,44,18,3006.52,3454,5,0
1029,54,8,1166.93,2031,4,0
1030,3,5,671.15,1631,3,1
1031,57,14,1414.28,2750,1,0
1032,12,16,2121.83,1201,3,0
1033,5,17,1328.11,1767,1,0
1034,179,15,2610.08,2615,1,1
1035,203,7,1105.71,1322,1,0
1036,100,10,1469.7,1189,2,1
1037,22,17,893.64,2520,5,0
1038,7,11,1177.52,3639,3,1
1039,70,9,970.31,74,4,0
1040,35,6,718.85,2608,2,1
1041,8,11,1484.44,2942,4,1
1042,42,10,602.06,1752,3,0
1043,3,7,1111.51,1014,5,0
1044,145,13,1980.01,1597,2,0
1045,18,13,2319.68,501,4,0
1046,66,10,943.49,1206,1,0
1047,23,9,1224.09,2842,4,0
1048,45,18,3040.81,3024,1,1
1049,48,12,1148.32,1909,4,0
1050,13,13,1336.25,934,2,0
1051,210,4,214.89,2522,4,0
1052,90,8,670.91,156,3,1
1053,169,14,130.07,189,3,1
1054,136,10,926.69,3490,5,0
1055,55,12,1495.12,3581,5,0
1056,153,8,539.0,3214,5,0
1057,6,10,1537.34,2516,1,1
1058,14,11,1171.43,1693,3,0
1059,3,9,1060.62,2740,3,0
1060,24,13,2123.82,3090,3,0
1061,30,12,1604.19,778,1,0
1062,19,12,1262.09,1030,5,0
1063,106,10,1056.12,2333,2,1
1064,27,6,476.03,2056,1,0
1065,20,12,1580.12,2792,3,0
1066,47,12,494.41,540,4,0
1067,10,15,1377.05,2423,4,0
1068,98,12,964.19,514,3,0
1069,5,15,1422.08,3407,4,0
1070,261,14,1358.18,112,5,1
1071,89,9,928.86,3301,4,0
1072,14,9,586.97,2018,2,0
1073,1,14,2075.33,1486,2,0
1074,102,13,839.5,2732,3,0
1075,74,6,906.02,1959,4,0
1076,79,9,560.15,1910,3,0
1077,89,13,382.2,2800,2,0
1078,5,13,2852.98,2998,2,1
1079,27,16,2487.88,496,3,1
1080,8,14,1388.56,1647,1,0
1081,120,19,3653.46,3073,5,0
1082,59,15,1605.83,556,5,1
1083,25,14,2333.29,2507,5,0
1084,4,10,1216.33,760,3,0
1085,23,9,417.89,2004,1,0
1086,24,7,881.81,1397,5,0
1087,79,15,1159.36,3376,2,0
1088,61,12,1415.17,2722,2,0
1089,131,15,2369.06,3276,3,1
1090,39,13,1151.97,3613,1,0
1091,8,17,2642.31,2895,2,1
1092,75,8,1138.39,1888,5,0
1093,86,10,1133.79,2878,5,1
1094,50,18,797.48,1119,2,0
1095,89,11,677.55,1448,2,0
1096,41,9,1506.67,3020,3,0
1097,45,15,1123.88,2670,1,1
1098,34,11,1034.76,2887,2,0
1099,2,19,2904.11,260,1,0
1100,7,13,1581.76,2749,1,0
1101,2,10,1106.41,240,2,0
1102,61,12,1850.31,1074,5,0
1103,23,10,1248.43,2655,5,1
1104,43,13,1826.87,1918,1,0
1105,143,15,1143.91,3107,5,0
1106,18,15,2478.26,539,1,0
1107,32,10,1072.96,21,5,0
1108,85,8,1075.87,727,5,0
1109,16,6,536.62,2323,4,1
1110,5,9,1232.22,3419,2,1
1111,21,9,1146.06,2932,2,0
1112,11,8,922.23,3540,5,0
1113,160,14,2208.3,3226,5,0
1114,100,7,1003.14,3132,5,0
1115,61,10,1769.33,2926,1,1
1116,124,7,699.66,3383,4,0
1117,98,15,2396.97,753,2,0
1118,13,7,1086.47,744,2,1
1119,134,9,636.44,1166,1,1
1120,47,7,607.3,1241,3,0
1121,99,8,887.69,2099,2,0
1122,136,16,2530.13,269,5,0
1123,23,7,1010.33,2796,4,0
1124,7,14,2214.68,193,1,0
1125,16,10,1024.03,194,4,0
1126,34,8,823.69,2067,1,1
1127,103,19,2711.53,2606,3,0
1128,119,11,1189.71,2975,4,1
1129,1,9,943.79,815,3,0
1130,43,11,1052.2,3100,2,1
1131,33,10,1464.66,2254,5,1
1132,16,11,1589.7,1309,3,1
1133,8,8,1539.23,2718,5,0
1134,25,10,929.69,1074,1,0
1135,172,16,2134.59,3368,5,1
1136,24,14,2041.18,3019,5,0
1137,44,7,661.46,2972,5,1
1138,73,12,1583.7,1950,3,0
1139,28,8,752.63,2118,5,0
1140,215,5,833.37,914,2,1
1141,197,6,676.11,2192,2,1
1142,18,16,2495.14,2024,3,0
1143,42,16,1559.94,1279,2,0
1144,22,9,726.89,2601,3,0
1145,21,11,2218.34,770,4,0
1146,3,13,1934.08,3510,4,1
1147,57,10,1185.85,1658,3,1
1148,42,12,1011.05,1845,4,0
1149,4,5,656.02,3452,4,0
1150,20,11,2250.62,1281,3,0
1151,144,9,1052.88,3028,3,0
1152,17,10,932.88,3173,3,0
1153,10,10,879.1,3289,1,1
1154,41,9,565.37,250,2,1
1155,255,11,876.63,3180,3,0
1156,17,14,1121.38,245,2,0
1157,67,12,1078.19,695,1,1
1158,87,10,1528.73,1709,1,0
1159,17,11,1135.4,2151,3,1
1160,79,20,2343.96,437,1,0
1161,28,4,175.05,2473,3,0
1162,61,4,331.04,3294,5,1
1163,61,13,1845.47,2878,4,0
1164,47,7,594.27,1640,3,0
1165,6,7,650.52,1257,2,0
1166,109,9,668.52,3439,1,0
1167,24,5,880.77,1939,1,0
1168,13,12,2471.5,83,4,0
1169,3,9,1605.62,2328,4,0
1170,54,15,1563.7,2990,4,0
1171,68,13,1964.38,1883,4,0
1172,2,12,1280.45,1878,4,0
1173,44,14,1080.54,1864,5,0
1174,16,10,1154.5,2572,4,0
1175,63,14,1213.92,3182,3,0
1176,12,13,1178.0,1241,1,1
1177,71,11,1328.72,2607,2,1
1178,30,14,2146.38,3035,2,0
1179,166,10,1460.83,2295,1,1
1180,9,3,400.82,1777,1,0
1181,26,7,682.52,1456,4,1
1182,8,15,1854.86,697,5,1
1183,156,21,1534.74,1722,3,0
1184,126,13,1242.29,2853,3,0
1185,18,7,791.0,741,3,0
1186,65,9,823.12,2231,4,0
1187,102,12,1592.11,2998,1,0
1188,49,7,986.6,3217,2,1
1189,46,15,2663.49,1488,3,0
1190,17,9,1191.13,221,5,0
1191,6,12,1702.17,1523,5,0
1192,137,13,1444.56,1721,1,0
1193,139,6,1408.89,1296,2,0
1194,61,9,1815.19,2578,2,1
1195,25,8,1231.3,1490,5,0
1196,26,9,378.57,2864,2,0
1197,78,13,2573.03,2637,4,1
1198,137,13,913.51,696,1,1
1199,131,10,1657.39,3231,1,0
1200,91,7,610.25,1265,4,0
1201,62,8,1085.79,448,5,0
1202,6,9,801.18,163,3,0
1203,11,10,1120.45,1688,4,0
1204,138,7,832.01,2233,5,0
1205,56,14,1231.03,2248,1,0
1206,1,14,1660.83,1178,3,0
1207,7,12,1268.23,492,2,0
1208,66,16,1971.26,1456,3,0
1209,1,11,409.47,569,3,0
1210,11,8,945.43,3381,2,0
1211,48,16,1536.78,449,4,0
1212,71,7,599.54,3401,1,1
1213,64,9,1242.37,1865,2,0
1214,16,7,727.9,2438,1,1
1215,75,11,853.24,288,4,0
1216,17,8,1414.13,2220,4,0
1217,24,12,1679.95,3352,5,0
1218,83,13,1530.56,2612,4,1
1219,63,12,2143.57,3122,3,1
1220,114,15,1413.11,3259,2,0
1221,65,10,1321.41,1140,5,0
1222,51,8,1310.32,862,4,0
1223,6,15,1893.52,2007,5,0
1224,28,12,2651.67,2318,3,0
1225,19,12,1581.61,3095,1,0
1226,17,11,1465.17,3638,4,0
1227,217,9,1537.58,2841,5,1
1228,30,8,1126.75,699,3,1
1229,134,9,1159.42,2668,1,1
1230,60,8,994.55,1093,4,0
1231,96,14,1528.66,1442,1,0
1232,42,9,412.03,2561,4,1
1233,52,12,1701.7,2527,2,0
1234,41,15,1778.84,3156,5,0
1235,14,10,729.69,1726,4,0
1236,77,13,1206.58,2221,4,0
1237,20,11,953.67,237,3,0
1238,2,16,2768.97,1347,2,0
1239,63,14,2193.68,3105,5,1
1240,12,14,2539.56,1687,1,1
1241,170,14,1822.47,2600,4,1
1242,185,11,1704.67,183,1,1
1243,148,11,1546.03,1784,5,0
1244,28,14,984.64,2218,3,0
1245,1,11,1209.72,2984,1,1
1246,159,12,1470.63,3440,2,0
1247,34,9,1519.59,2929,1,0
1248,205,7,648.66,1856,5,0
1249,199,12,1078.11,1036,1,0
1250,116,11,1106.1,2581,2,0
1251,21,10,1661.12,3486,3,1
1252,30,13,1553.08,2665,3,0
1253,115,19,2771.06,524,1,1
1254,23,12,2000.98,1504,5,1
1255,12,8,976.31,2325,1,0
1256,49,10,1172.66,2849,5,0
1257,166,11,1303.5,2141,3,0
1258,72,13,1321.98,541,3,0
1259,51,12,1702.45,2629,4,0
1260,7,13,1604.04,1424,2,1
1261,58,16,2341.41,1604,1,1
1262,277,11,1472.29,710,2,0
1263,10,7,785.98,3031,1,0
1264,44,12,972.3,175,5,0
1265,126,12,1091.84,1723,3,0
1266,82,8,1014.51,199,5,1
1267,72,11,1215.8,1429,1,0
1268,73,8,730.41,2727,3,0
1269,27,4,497.58,2295,3,0
1270,21,11,1945.73,524,4,1
1271,100,17,2879.63,806,3,1
1272,100,10,1043.09,2658,4,1
1273,122,18,2202.87,1681,2,0
1274,147,19,1622.88,1049,5,0
1275,43,12,2108.92,827,1,0
1276,42,10,1971.94,114,5,0
1277,97,6,861.49,1137,2,0
1278,63,11,1257.96,3371,1,1
1279,73,6,579.89,1469,4,0
1280,96,16,1435.41,1757,3,0
1281,133,9,1058.0,1180,1,1
1282,25,10,911.37,1150,1,0
1283,29,10,251.87,2016,2,0
1284,6,9,792.44,1088,4,1
1285,52,14,2277.98,3106,5,1
1286,3,11,1552.32,525,2,0
1287,38,8,1451.61,836,2,0
1288,47,8,1273.06,2473,5,0
1289,21,14,757.12,2882,5,0
1290,54,10,1449.02,572,3,0
1291,2,9,1048.82,1214,4,0
1292,3,5,793.46,2651,2,0
1293,104,7,576.57,2524,5,1
1294,27,11,1320.72,2437,2,1
1295,9,8,1259.1,1631,2,1
1296,45,8,1084.86,296,3,0
1297,89,12,1325.25,2163,2,1
1298,15,14,1237.35,2142,3,0
1299,59,13,2011.19,1175,4,0
1300,6,8,1455.62,2062,5,1
1301,4,10,1636.84,3620,3,0
1302,46,10,1218.6,1665,2,0
1303,47,10,1136.33,1935,5,0
1304,61,14,862.72,1597,5,0
1305,78,12,1241.36,2074,4,0
1306,224,11,877.09,853,1,1
1307,44,11,461.6,1956,3,0
1308,24,15,1014.78,1508,5,0
1309,96,11,482.31,3224,4,0
1310,19,9,1465.77,2158,5,0
1311,35,10,1744.13,935,2,1
1312,5,12,1609.09,661,4,0
1313,2,10,1276.61,3307,1,0
1314,198,13,1707.96,618,2,0
1315,109,11,1539.06,2339,3,0
1316,72,11,1148.37,2588,3,1
1317,32,13,1256.94,3351,3,0
1318,12,16,2438.41,914,1,0
1319,11,12,1348.58,3206,1,1
1320,18,10,794.26,1645,1,0
1321,48,15,1356.5,533,5,1
1322,76,12,2401.26,2698,5,0
1323,65,9,1700.6,2200,2,1
1324,20,8,1545.23,3179,5,0
1325,186,14,3077.65,330,1,1
1326,81,9,912.01,2891,4,0
1327,49,13,2271.14,1184,4,0
1328,57,9,964.16,930,3,0
1329,33,14,1367.97,3408,1,0
1330,18,16,2720.27,563,1,0
1331,27,11,1319.73,3225,4,0
1332,86,11,674.74,1638,5,0
1333,1,12,1191.18,3366,4,0
1334,8,5,146.87,1966,1,1
1335,3,13,1638.38,2056,4,1
1336,3,22,3258.07,53,3,1
1337,117,16,2921.9,96,4,1
1338,73,15,2532.84,2411,4,0
1339,39,13,2605.8,97,2,1
1340,7,9,1017.97,3103,1,1
1341,41,12,560.55,941,4,0
1342,39,10,1897.25,2208,1,1
1343,12,12,874.64,1934,1,1
1344,35,18,3209.83,3539,5,0
1345,31,7,378.21,1411,2,1
1346,58,15,1977.94,2423,1,1
1347,61,18,1439.26,3647,3,0
1348,3,15,2110.08,391,2,0
1349,29,10,1015.17,2713,4,0
1350,59,15,2011.63,625,1,0
1351,42,12,896.6,199,5,0
1352,117,11,921.32,3455,4,0
1353,65,10,486.37,3224,4,0
1354,11,10,1814.96,2249,4,0
1355,5,8,527.69,3203,3,0
1356,62,8,1090.21,2724,2,1
1357,2,9,934.09,3577,3,0
1358,53,7,346.6,914,3,1
1359,170,7,481.62,1650,5,0
1360,52,20,2009.44,156,1,0
1361,30,10,1204.6,378,1,0
1362,62,11,1200.09,2109,1,0
1363,37,10,1629.63,162,1,0
1364,48,15,1763.11,710,1,1
1365,171,12,1577.93,633,2,0
1366,30,12,1191.71,893,2,0
1367,195,11,1114.24,728,1,1
1368,142,13,1382.17,1898,1,0
1369,14,15,2119.03,602,4,1
1370,5,9,1021.89,635,5,0
1371,7,11,2014.32,2479,3,1
1372,2,17,1159.8,1363,1,1
1373,6,10,1552.13,1813,1,0
1374,69,6,542.91,846,3,0
1375,5,15,2422.66,2124,5,1
